Orthogroup	Ahalleri_v2.1.0.priTranscripts	Alyrata_v2.1.priTranscripts	Athaliana_Araport11.priTranscripts	Boleracea_capitata_v1.0.priTranscripts	Brapa_v1.3.priTranscripts
303	OG0000302	19	1	0	0	0
304	OG0000303	7	2	5	0	6
305	OG0000304	3	3	3	5	6
306	OG0000305	2	4	2	6	6
307	OG0000306	3	4	4	4	5
308	OG0000307	3	3	3	6	5
309	OG0000308	11	5	0	0	4
310	OG0000309	3	4	1	4	8
311	OG0000310	4	4	3	5	4
312	OG0000311	19	0	1	0	0
313	OG0000312	5	4	3	5	3
314	OG0000313	4	5	4	2	5
315	OG0000314	5	5	4	2	4
316	OG0000315	3	3	3	5	6
317	OG0000316	4	3	3	5	5
318	OG0000317	3	3	3	5	6
319	OG0000318	1	4	3	3	9
320	OG0000319	3	3	3	6	5
321	OG0000320	3	4	0	11	2
322	OG0000321	3	3	3	5	6
323	OG0000322	4	5	4	2	5
324	OG0000323	5	3	4	2	6
325	OG0000324	3	8	3	0	6
326	OG0000325	3	3	3	5	6
327	OG0000326	3	3	4	4	6
328	OG0000327	3	3	3	4	7
329	OG0000328	4	4	4	5	3
330	OG0000329	4	7	5	2	2
331	OG0000330	3	5	5	3	4
332	OG0000331	2	8	10	0	0
333	OG0000332	1	4	4	3	8
334	OG0000333	4	3	4	4	5
335	OG0000334	1	8	2	4	5
336	OG0000335	1	3	2	10	4
337	OG0000336	0	1	0	1	18
338	OG0000337	0	0	0	20	0
339	OG0000338	0	0	0	19	1
340	OG0000339	0	0	0	20	0
341	OG0000340	0	0	0	1	19
342	OG0000341	3	4	5	2	5
343	OG0000342	6	5	1	5	2
344	OG0000343	3	3	3	4	6
345	OG0000344	2	3	3	3	8
346	OG0000345	4	6	5	2	2
347	OG0000346	3	2	4	5	5
348	OG0000347	3	3	3	4	6
349	OG0000348	1	4	3	4	7
350	OG0000349	16	3	0	0	0
351	OG0000350	3	3	3	6	4
352	OG0000351	4	5	3	2	5
353	OG0000352	3	3	3	7	3
354	OG0000353	3	3	3	4	6
355	OG0000354	3	3	3	5	5
356	OG0000355	4	0	1	14	0
357	OG0000356	3	3	3	4	6
358	OG0000357	3	10	6	0	0
359	OG0000358	3	3	9	2	2
360	OG0000359	3	3	3	4	6
361	OG0000360	2	2	2	6	7
362	OG0000361	2	7	6	3	1
363	OG0000362	4	4	3	3	5
364	OG0000363	3	4	4	3	5
365	OG0000364	5	1	1	6	6
366	OG0000365	5	5	6	0	3
367	OG0000366	3	4	3	3	6
368	OG0000367	4	7	4	1	3
369	OG0000368	2	2	2	7	6
370	OG0000369	3	3	3	4	6
371	OG0000370	3	3	4	5	4
372	OG0000371	12	5	0	1	1
373	OG0000372	2	5	4	2	6
374	OG0000373	1	0	1	16	1
375	OG0000374	1	2	0	13	3
376	OG0000375	3	4	4	3	5
377	OG0000376	1	0	0	1	17
378	OG0000377	4	5	2	2	6
379	OG0000378	3	7	3	1	5
380	OG0000379	2	11	6	0	0
381	OG0000380	3	6	4	2	4
382	OG0000381	2	4	5	6	2
383	OG0000382	9	5	1	0	4
384	OG0000383	4	9	3	0	3
385	OG0000384	5	8	0	0	6
386	OG0000385	5	5	2	0	7
387	OG0000386	2	4	3	2	8
388	OG0000387	0	0	1	18	0
389	OG0000388	0	0	0	19	0
390	OG0000389	0	0	0	19	0
391	OG0000390	0	0	0	0	19
392	OG0000391	16	1	1	0	0
393	OG0000392	4	5	2	3	4
394	OG0000393	3	3	3	5	4
395	OG0000394	2	3	2	2	9
396	OG0000395	3	3	3	4	5
397	OG0000396	1	1	2	9	5
398	OG0000397	2	2	1	5	8
399	OG0000398	3	3	3	4	5
400	OG0000399	4	3	4	4	3
401	OG0000400	6	1	3	0	8
402	OG0000401	2	2	3	5	6
403	OG0000402	3	3	3	3	6
404	OG0000403	3	3	2	1	9
405	OG0000404	3	3	4	4	4
406	OG0000405	18	0	0	0	0
407	OG0000406	3	3	2	4	6
408	OG0000407	3	3	3	5	4
409	OG0000408	3	3	3	5	4
410	OG0000409	3	3	2	5	5
411	OG0000410	2	3	4	4	5
412	OG0000411	3	3	3	4	5
413	OG0000412	2	5	2	4	5
414	OG0000413	2	2	2	7	5
415	OG0000414	3	3	3	4	5
416	OG0000415	4	5	4	0	5
417	OG0000416	3	3	3	4	5
418	OG0000417	3	2	4	4	5
419	OG0000418	3	3	3	4	5
420	OG0000419	4	4	3	4	3
421	OG0000420	2	2	5	3	6
422	OG0000421	7	5	2	4	0
423	OG0000422	13	2	3	0	0
424	OG0000423	5	5	5	0	3
425	OG0000424	2	3	2	2	9
426	OG0000425	17	0	1	0	0
427	OG0000426	2	16	0	0	0
428	OG0000427	4	7	2	2	3
429	OG0000428	1	4	3	6	4
430	OG0000429	3	3	3	3	6
431	OG0000430	3	3	3	4	5
432	OG0000431	3	4	3	3	5
433	OG0000432	3	4	2	3	6
434	OG0000433	4	5	5	0	4
435	OG0000434	3	4	3	3	5
436	OG0000435	5	4	3	2	4
437	OG0000436	3	4	4	2	5
438	OG0000437	3	3	5	2	5
439	OG0000438	4	7	1	3	3
440	OG0000439	4	6	3	0	5
441	OG0000440	1	3	4	4	6
442	OG0000441	2	2	2	6	6
443	OG0000442	3	3	3	3	6
444	OG0000443	2	2	4	2	8
445	OG0000444	3	3	3	4	5
446	OG0000445	3	3	3	4	5
447	OG0000446	3	3	5	1	6
448	OG0000447	3	4	4	3	4
449	OG0000448	1	8	2	5	2
450	OG0000449	1	10	3	1	3
451	OG0000450	1	2	4	2	9
452	OG0000451	2	3	4	0	9
453	OG0000452	4	4	6	1	3
454	OG0000453	1	5	5	5	2
455	OG0000454	1	4	5	2	6
456	OG0000455	4	4	4	2	4
457	OG0000456	0	0	1	1	16
458	OG0000457	16	0	1	0	0
459	OG0000458	4	4	3	5	1
460	OG0000459	3	5	5	2	2
461	OG0000460	8	3	5	0	1
462	OG0000461	3	2	4	4	4
463	OG0000462	3	4	2	4	4
464	OG0000463	7	6	2	1	1
465	OG0000464	4	3	3	5	2
466	OG0000465	3	5	6	2	1
467	OG0000466	3	3	3	3	5
468	OG0000467	4	1	2	6	4
469	OG0000468	17	0	0	0	0
470	OG0000469	17	0	0	0	0
471	OG0000470	6	6	1	1	3
472	OG0000471	3	2	3	6	3
473	OG0000472	4	5	8	0	0
474	OG0000473	2	2	2	6	5
475	OG0000474	3	2	3	5	4
476	OG0000475	3	2	2	5	5
477	OG0000476	16	1	0	0	0
478	OG0000477	2	2	2	6	5
479	OG0000478	3	2	1	4	7
480	OG0000479	2	4	4	3	4
481	OG0000480	2	6	4	2	3
482	OG0000481	2	3	2	6	4
483	OG0000482	2	3	3	5	4
484	OG0000483	3	4	4	1	5
485	OG0000484	3	2	4	3	5
486	OG0000485	2	4	4	3	4
487	OG0000486	17	0	0	0	0
488	OG0000487	3	4	3	3	4
489	OG0000488	3	3	3	3	5
490	OG0000489	3	5	5	4	0
491	OG0000490	1	4	4	3	5
492	OG0000491	3	3	2	4	5
493	OG0000492	4	3	4	2	4
494	OG0000493	3	3	2	5	4
495	OG0000494	2	3	2	3	7
496	OG0000495	3	4	4	1	5
497	OG0000496	3	3	3	4	4
498	OG0000497	2	6	6	1	2
499	OG0000498	1	6	2	2	6
500	OG0000499	4	5	5	2	1
501	OG0000500	2	2	2	4	7
502	OG0000501	2	2	2	5	6
503	OG0000502	3	3	3	3	5
504	OG0000503	3	4	1	7	2
505	OG0000504	1	0	3	7	6
506	OG0000505	1	8	8	0	0
507	OG0000506	2	0	0	10	5
508	OG0000507	3	3	3	2	6
509	OG0000508	2	2	2	5	6
510	OG0000509	3	3	3	2	6
511	OG0000510	1	2	0	7	7
512	OG0000511	4	3	4	3	3
513	OG0000512	1	9	4	0	3
514	OG0000513	1	3	4	0	9
515	OG0000514	1	1	11	0	4
516	OG0000515	1	3	6	3	4
517	OG0000516	1	5	2	5	4
518	OG0000517	4	2	3	4	4
519	OG0000518	3	4	3	3	4
520	OG0000519	0	17	0	0	0
521	OG0000520	0	8	3	1	5
522	OG0000521	0	1	0	3	13
523	OG0000522	0	0	1	15	1
524	OG0000523	0	0	0	11	6
525	OG0000524	0	0	0	0	17
526	OG0000525	9	4	1	0	2
527	OG0000526	3	3	3	3	4
528	OG0000527	3	8	1	1	3
529	OG0000528	3	2	3	4	4
530	OG0000529	2	3	3	3	5
531	OG0000530	4	6	3	1	2
532	OG0000531	3	3	3	4	3
533	OG0000532	3	3	3	4	3
534	OG0000533	3	2	4	5	2
535	OG0000534	4	3	3	4	2
536	OG0000535	3	3	3	3	4
537	OG0000536	3	2	4	3	4
538	OG0000537	3	5	3	2	3
539	OG0000538	2	3	3	3	5
540	OG0000539	1	1	1	0	13
541	OG0000540	3	3	2	5	3
542	OG0000541	2	2	2	5	5
543	OG0000542	3	3	3	1	6
544	OG0000543	4	3	2	3	4
545	OG0000544	2	2	2	5	5
546	OG0000545	3	3	3	3	4
547	OG0000546	3	9	2	2	0
548	OG0000547	1	5	6	1	3
549	OG0000548	15	1	0	0	0
550	OG0000549	3	2	3	0	8
551	OG0000550	2	2	2	6	4
552	OG0000551	5	8	1	2	0
553	OG0000552	2	2	2	5	5
554	OG0000553	2	0	0	14	0
555	OG0000554	3	2	2	4	5
556	OG0000555	2	1	2	6	5
557	OG0000556	2	2	2	6	4
558	OG0000557	2	4	2	3	5
559	OG0000558	3	4	3	3	3
560	OG0000559	3	4	3	2	4
561	OG0000560	2	2	2	4	6
562	OG0000561	2	5	5	1	3
563	OG0000562	1	1	1	7	6
564	OG0000563	4	3	3	2	4
565	OG0000564	2	3	3	4	4
566	OG0000565	5	5	1	0	5
567	OG0000566	4	4	4	2	2
568	OG0000567	2	2	2	5	5
569	OG0000568	1	2	2	6	5
570	OG0000569	3	3	3	2	5
571	OG0000570	1	3	2	5	5
572	OG0000571	1	4	6	2	3
573	OG0000572	2	7	3	1	3
574	OG0000573	2	0	3	0	11
575	OG0000574	3	13	0	0	0
576	OG0000575	6	5	3	0	2
577	OG0000576	3	4	2	3	4
578	OG0000577	3	3	4	3	3
579	OG0000578	2	2	2	5	5
580	OG0000579	3	3	3	2	5
581	OG0000580	2	2	2	4	6
582	OG0000581	2	3	3	3	5
583	OG0000582	2	2	2	5	5
584	OG0000583	3	3	2	4	4
585	OG0000584	3	3	3	3	4
586	OG0000585	2	2	2	5	5
587	OG0000586	2	2	2	3	7
588	OG0000587	2	7	4	1	2
589	OG0000588	3	3	2	3	5
590	OG0000589	2	3	2	3	6
591	OG0000590	7	8	1	0	0
592	OG0000591	3	3	3	2	5
593	OG0000592	2	2	2	6	4
594	OG0000593	1	0	0	1	14
595	OG0000594	3	3	3	1	6
596	OG0000595	3	1	11	0	1
597	OG0000596	2	5	4	3	2
598	OG0000597	3	3	3	2	5
599	OG0000598	2	3	3	4	4
600	OG0000599	2	4	6	1	3
601	OG0000600	2	2	2	5	5
602	OG0000601	3	4	4	2	3
603	OG0000602	4	2	4	4	2
604	OG0000603	2	2	2	6	4
605	OG0000604	4	3	4	2	3
606	OG0000605	2	7	4	2	1
607	OG0000606	3	2	3	4	4
608	OG0000607	4	4	4	1	3
609	OG0000608	3	4	4	2	3
610	OG0000609	2	2	2	4	6
611	OG0000610	3	2	2	4	5
612	OG0000611	1	8	4	3	0
613	OG0000612	2	4	3	4	3
614	OG0000613	2	5	5	3	1
615	OG0000614	3	6	2	3	2
616	OG0000615	2	2	6	1	5
617	OG0000616	2	5	3	2	4
618	OG0000617	1	0	3	8	4
619	OG0000618	1	8	1	4	2
620	OG0000619	3	4	3	2	4
621	OG0000620	0	0	0	16	0
622	OG0000621	0	0	0	16	0
623	OG0000622	0	0	0	15	1
624	OG0000623	0	0	0	14	2
625	OG0000624	0	0	0	15	1
626	OG0000625	0	0	0	16	0
627	OG0000626	0	0	0	15	1
628	OG0000627	3	1	2	5	4
629	OG0000628	5	8	1	0	1
630	OG0000629	2	2	2	5	4
631	OG0000630	2	2	2	4	5
632	OG0000631	9	0	3	0	3
633	OG0000632	1	7	3	2	2
634	OG0000633	2	3	3	3	4
635	OG0000634	13	0	2	0	0
636	OG0000635	2	2	2	3	6
637	OG0000636	3	2	2	5	3
638	OG0000637	2	2	2	5	4
639	OG0000638	2	3	2	4	4
640	OG0000639	2	0	2	0	11
641	OG0000640	2	2	2	1	8
642	OG0000641	4	2	3	4	2
643	OG0000642	2	2	2	5	4
644	OG0000643	4	5	3	0	3
645	OG0000644	5	2	2	3	3
646	OG0000645	3	3	3	3	3
647	OG0000646	2	2	3	4	4
648	OG0000647	3	3	3	4	2
649	OG0000648	2	2	2	4	5
650	OG0000649	3	3	3	2	4
651	OG0000650	2	2	2	5	4
652	OG0000651	14	1	0	0	0
653	OG0000652	3	3	2	3	4
654	OG0000653	2	3	3	2	5
655	OG0000654	3	3	3	2	4
656	OG0000655	1	1	0	2	11
657	OG0000656	2	2	2	3	6
658	OG0000657	3	4	3	2	3
659	OG0000658	2	2	2	4	5
660	OG0000659	14	0	0	1	0
661	OG0000660	2	2	2	5	4
662	OG0000661	3	3	3	2	4
663	OG0000662	5	3	4	1	2
664	OG0000663	12	3	0	0	0
665	OG0000664	3	3	3	3	3
666	OG0000665	2	2	2	5	4
667	OG0000666	2	3	2	4	4
668	OG0000667	2	3	2	5	3
669	OG0000668	1	4	2	1	7
670	OG0000669	4	0	1	0	10
671	OG0000670	2	2	2	4	5
672	OG0000671	3	4	4	2	2
673	OG0000672	3	2	2	4	4
674	OG0000673	3	4	2	3	3
675	OG0000674	3	3	3	2	4
676	OG0000675	3	2	3	2	5
677	OG0000676	3	3	4	3	2
678	OG0000677	2	2	2	4	5
679	OG0000678	3	3	3	2	4
680	OG0000679	3	3	5	1	3
681	OG0000680	3	2	3	3	4
682	OG0000681	2	2	2	4	5
683	OG0000682	2	2	9	0	2
684	OG0000683	3	3	3	3	3
685	OG0000684	3	4	2	3	3
686	OG0000685	2	3	3	1	6
687	OG0000686	2	3	2	4	4
688	OG0000687	2	4	2	3	4
689	OG0000688	1	1	1	4	8
690	OG0000689	3	2	2	3	5
691	OG0000690	6	3	2	2	2
692	OG0000691	1	2	3	3	6
693	OG0000692	2	2	2	4	5
694	OG0000693	3	3	2	2	5
695	OG0000694	2	2	2	5	4
696	OG0000695	6	4	3	1	1
697	OG0000696	3	3	3	4	2
698	OG0000697	3	5	3	1	3
699	OG0000698	3	2	3	1	6
700	OG0000699	4	4	4	0	3
701	OG0000700	11	4	0	0	0
702	OG0000701	2	2	2	4	5
703	OG0000702	2	3	2	4	4
704	OG0000703	2	4	3	2	4
705	OG0000704	2	2	2	3	6
706	OG0000705	4	4	1	3	3
707	OG0000706	2	2	3	4	4
708	OG0000707	2	2	3	4	4
709	OG0000708	1	3	4	4	3
710	OG0000709	3	2	2	3	5
711	OG0000710	4	11	0	0	0
712	OG0000711	2	4	3	3	3
713	OG0000712	2	2	2	4	5
714	OG0000713	2	2	2	4	5
715	OG0000714	3	6	2	2	2
