#FamilyID	pvalue	Significant at 0.05
null	0.366	n
null	0.28	n
null	0.28	n
null	0.035	y
null	0.28	n
null	0.035	y
null	0.214	n
null	0.214	n
null	0.28	n
null	0.214	n
null	0.129	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.009	y
null	0.176	n
null	0.005	y
null	0.214	n
null	0.214	n
null	0.214	n
null	0.073	n
null	0.214	n
null	0.214	n
null	0.01	y
null	0.358	n
null	0.104	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.102	n
null	0.214	n
null	0.089	n
null	0.28	n
null	0.214	n
null	0.072	n
null	0.099	n
null	0.104	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.073	n
null	0.28	n
null	0.009	y
null	0.011	y
null	0.214	n
null	0.64	n
null	0.058	n
null	0.28	n
null	0.214	n
null	0.099	n
null	0.214	n
null	0.058	n
null	0.522	n
null	0.086	n
null	0.214	n
null	0.176	n
null	0.214	n
null	0.28	n
null	0.054	n
null	0.214	n
null	0.086	n
null	0.176	n
null	0.025	y
null	0.011	y
null	0.214	n
null	0.02	y
null	0.196	n
null	0.28	n
null	0.174	n
null	0.176	n
null	0.025	y
null	0.214	n
null	0.214	n
null	0.174	n
null	0.28	n
null	0.129	n
null	0.28	n
null	0.214	n
null	0.073	n
null	0.106	n
null	0.214	n
null	0.025	y
null	0.28	n
null	0.003	y
null	0.089	n
null	0.023	y
null	0.214	n
null	0.24	n
null	0.214	n
null	0.28	n
null	0.28	n
null	0.214	n
null	0.006	y
null	0.366	n
null	0.174	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.129	n
null	0.176	n
null	0.174	n
null	0.214	n
null	0.094	n
null	0.099	n
null	0.129	n
null	0.214	n
null	0.28	n
null	0.016	y
null	0.122	n
null	0	y
null	0.003	y
null	0.214	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.28	n
null	0.035	y
null	0.366	n
null	0.129	n
null	0.073	n
null	0.214	n
null	0.214	n
null	0.089	n
null	0.28	n
null	0.032	y
null	0.001	y
null	0.214	n
null	0.214	n
null	0	y
null	0.21	n
null	0.05	n
null	0.012	y
null	0.214	n
null	0.196	n
null	0.28	n
null	0.214	n
null	0.099	n
null	0.03	y
null	0.123	n
null	0.051	n
null	0.073	n
null	0.049	y
null	0.005	y
null	0.109	n
null	0.176	n
null	0.214	n
null	0.073	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.196	n
null	0.123	n
null	0.073	n
null	0.006	y
null	0.008	y
null	0.214	n
null	0.011	y
null	0.174	n
null	0.174	n
null	0.214	n
null	0.214	n
null	0.054	n
null	0.214	n
null	0.214	n
null	0.052	n
null	0.214	n
null	0.104	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.21	n
null	0.174	n
null	0.176	n
null	0.214	n
null	0.28	n
null	0.009	y
null	0.174	n
null	0.28	n
null	0.106	n
null	0.073	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.174	n
null	0.214	n
null	0.089	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.176	n
null	0.214	n
null	0.011	y
null	0.214	n
null	0.086	n
null	0.21	n
null	0.21	n
null	0.214	n
null	0.099	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.174	n
null	0.011	y
null	0.03	y
null	0.044	y
null	0.104	n
null	0.214	n
null	0.214	n
null	0.366	n
null	0.214	n
null	0.457	n
null	0.28	n
null	0.28	n
null	0.174	n
null	0.28	n
null	0.025	y
null	0.214	n
null	0.28	n
null	0.413	n
null	0.176	n
null	0.214	n
null	0.28	n
null	0.214	n
null	0.123	n
null	0.065	n
null	0.196	n
null	0.004	y
null	0.008	y
null	0.005	y
null	0	y
null	0.214	n
null	0.006	y
null	0.05	n
null	0.21	n
null	0.006	y
null	0.21	n
null	0.008	y
null	0.006	y
null	0.214	n
null	0.174	n
null	0.035	y
null	0.214	n
null	0.626	n
null	0.174	n
null	0.457	n
null	0.086	n
null	0.002	y
null	0.001	y
null	0.102	n
null	0.003	y
null	0	y
null	0.001	y
null	0.544	n
null	0.015	y
null	0.099	n
null	0.03	y
null	0.048	y
null	0.174	n
null	0.048	y
null	0.104	n
null	0.28	n
null	0.174	n
null	0.176	n
null	0.28	n
null	0.002	y
null	0.001	y
null	0.214	n
null	0.073	n
null	0.054	n
null	0.214	n
null	0.099	n
null	0.214	n
null	0.214	n
null	0.086	n
null	0.28	n
null	0.28	n
null	0.28	n
null	0.269	n
null	0.003	y
null	0.28	n
null	0.099	n
null	0.176	n
null	0	y
null	0.207	n
null	0.28	n
null	0.28	n
null	0.099	n
null	0.214	n
null	0.366	n
null	0.001	y
null	0.099	n
null	0.023	y
null	0.016	y
null	0.176	n
null	0.002	y
null	0.095	n
null	0.522	n
null	0.28	n
null	0.176	n
null	0.174	n
null	0.214	n
null	0.01	y
null	0.28	n
null	0.035	y
null	0.28	n
null	0.28	n
null	0.306	n
null	0.28	n
null	0.176	n
null	0.001	y
null	0.28	n
null	0.28	n
null	0.522	n
null	0.413	n
null	0.214	n
null	0.104	n
null	0.28	n
null	0.28	n
null	0.176	n
null	0.196	n
null	0.171	n
null	0.28	n
null	0.039	y
null	0.358	n
null	0.28	n
null	0.28	n
null	0.28	n
null	0.28	n
null	0.214	n
null	0.28	n
null	0.214	n
null	0.044	y
null	0.28	n
null	0.214	n
null	0.457	n
null	0.28	n
null	0.214	n
null	0.28	n
null	0.03	y
null	0.015	y
null	0.28	n
null	0.28	n
null	0.104	n
null	0.28	n
null	0.28	n
null	0.044	y
null	0.214	n
null	0.023	y
null	0.009	y
null	0.176	n
null	0.106	n
null	0.24	n
null	0.214	n
