#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.750306	6.94644e-10	2.7668e-09	0.251064	N/S
null	1.24969	2.07216e-09	2.7668e-09	0.748936	N/S
null	0.750306	1.5345e-08	5.30607e-08	0.289197	N/S
null	1.24969	3.77158e-08	5.30607e-08	0.710803	N/S
null	0.750306	3.71802e-09	1.35292e-08	0.274815	N/S
null	1.24969	9.81115e-09	1.35292e-08	0.725185	N/S
null	0.750306	5.75559e-10	2.70107e-09	0.213086	N/S
null	1.24969	2.12551e-09	2.70107e-09	0.786914	N/S
null	0.750306	1.04699e-09	5.09745e-09	0.205395	N/S
null	1.24969	4.05046e-09	5.09745e-09	0.794605	N/S
null	0.750306	4.7414e-08	1.21778e-07	0.389348	N/S
null	1.24969	7.43641e-08	1.21778e-07	0.610652	N/S
null	0.750306	2.3912e-10	1.72927e-09	0.138277	N/S
null	1.24969	1.49016e-09	1.72927e-09	0.861723	N/S
null	0.750306	8.45075e-09	2.28731e-08	0.369462	N/S
null	1.24969	1.44224e-08	2.28731e-08	0.630538	N/S
null	0.750306	2.05467e-12	5.85078e-11	0.0351178	N/S
null	1.24969	5.64532e-11	5.85078e-11	0.964882	*
null	0.750306	1.72547e-09	8.75572e-09	0.197068	N/S
null	1.24969	7.03024e-09	8.75572e-09	0.802932	N/S
null	0.750306	2.89764e-11	2.63808e-10	0.109839	N/S
null	1.24969	2.34832e-10	2.63808e-10	0.890161	N/S
null	0.750306	4.47837e-08	1.20093e-07	0.372907	N/S
null	1.24969	7.53098e-08	1.20093e-07	0.627093	N/S
null	0.750306	1.0718e-08	4.16217e-08	0.25751	N/S
null	1.24969	3.09037e-08	4.16217e-08	0.74249	N/S
null	0.750306	1.70441e-08	3.93171e-08	0.433503	N/S
null	1.24969	2.2273e-08	3.93171e-08	0.566497	N/S
null	0.750306	2.76386e-12	5.85397e-11	0.0472134	N/S
null	1.24969	5.57758e-11	5.85397e-11	0.952787	*
null	0.750306	1.9293e-09	1.79891e-08	0.107248	N/S
null	1.24969	1.60598e-08	1.79891e-08	0.892752	N/S
null	0.750306	1.90805e-16	5.47727e-14	0.00348358	N/S
null	1.24969	5.45819e-14	5.47727e-14	0.996516	*
null	0.750306	2.67553e-15	5.21507e-13	0.00513039	N/S
null	1.24969	5.18831e-13	5.21507e-13	0.99487	*
null	0.750306	1.05057e-08	3.07699e-08	0.341429	N/S
null	1.24969	2.02642e-08	3.07699e-08	0.658571	N/S
null	0.750306	1.0718e-08	4.16217e-08	0.25751	N/S
null	1.24969	3.09037e-08	4.16217e-08	0.74249	N/S
null	0.750306	1.05057e-08	3.07699e-08	0.341429	N/S
null	1.24969	2.02642e-08	3.07699e-08	0.658571	N/S
null	0.750306	1.56297e-11	3.37957e-10	0.0462477	N/S
null	1.24969	3.22327e-10	3.37957e-10	0.953752	*
null	0.750306	1.3082e-09	4.4327e-09	0.295124	N/S
null	1.24969	3.1245e-09	4.4327e-09	0.704876	N/S
null	0.750306	1.5804e-14	1.61664e-12	0.00977583	N/S
null	1.24969	1.60083e-12	1.61664e-12	0.990224	*
null	0.750306	6.10758e-10	5.55323e-09	0.109982	N/S
null	1.24969	4.94247e-09	5.55323e-09	0.890018	N/S
null	0.750306	3.59972e-14	3.93362e-12	0.00915116	N/S
null	1.24969	3.89762e-12	3.93362e-12	0.990849	*
null	0.750306	6.6556e-09	3.27081e-08	0.203485	N/S
null	1.24969	2.60525e-08	3.27081e-08	0.796515	N/S
null	0.750306	3.88937e-10	3.52043e-09	0.11048	N/S
null	1.24969	3.13149e-09	3.52043e-09	0.88952	N/S
null	0.750306	1.40724e-09	5.48787e-09	0.256427	N/S
null	1.24969	4.08063e-09	5.48787e-09	0.743573	N/S
null	0.750306	5.99683e-09	1.61554e-08	0.371196	N/S
null	1.24969	1.01586e-08	1.61554e-08	0.628804	N/S
null	0.750306	2.45122e-12	7.68202e-11	0.0319086	N/S
null	1.24969	7.43689e-11	7.68202e-11	0.968091	*
null	0.750306	1.25738e-07	4.9424e-07	0.254407	N/S
null	1.24969	3.68502e-07	4.9424e-07	0.745593	N/S
null	0.750306	2.13537e-15	1.8812e-13	0.0113511	N/S
null	1.24969	1.85984e-13	1.8812e-13	0.988649	*
null	0.750306	1.70441e-08	3.93171e-08	0.433503	N/S
null	1.24969	2.2273e-08	3.93171e-08	0.566497	N/S
null	0.750306	8.31138e-12	1.76589e-10	0.0470663	N/S
null	1.24969	1.68277e-10	1.76589e-10	0.952934	*
null	0.750306	1.23664e-08	3.53509e-08	0.34982	N/S
null	1.24969	2.29845e-08	3.53509e-08	0.65018	N/S
null	0.750306	7.04925e-08	1.52228e-07	0.463071	N/S
null	1.24969	8.17359e-08	1.52228e-07	0.536929	N/S
null	0.750306	1.3025e-11	1.71156e-10	0.0761004	N/S
null	1.24969	1.58131e-10	1.71156e-10	0.9239	N/S
null	0.750306	8.45075e-09	2.28731e-08	0.369462	N/S
null	1.24969	1.44224e-08	2.28731e-08	0.630538	N/S
null	0.750306	8.45075e-09	2.28731e-08	0.369462	N/S
null	1.24969	1.44224e-08	2.28731e-08	0.630538	N/S
null	0.750306	5.63742e-09	1.83374e-08	0.307427	N/S
null	1.24969	1.27e-08	1.83374e-08	0.692573	N/S
null	0.750306	1.3082e-09	4.4327e-09	0.295124	N/S
null	1.24969	3.1245e-09	4.4327e-09	0.704876	N/S
null	0.750306	1.70441e-08	3.93171e-08	0.433503	N/S
null	1.24969	2.2273e-08	3.93171e-08	0.566497	N/S
null	0.750306	1.23664e-08	3.53509e-08	0.34982	N/S
null	1.24969	2.29845e-08	3.53509e-08	0.65018	N/S
null	0.750306	9.95523e-10	4.55369e-09	0.218619	N/S
null	1.24969	3.55817e-09	4.55369e-09	0.781381	N/S
null	0.750306	7.04925e-08	1.52228e-07	0.463071	N/S
null	1.24969	8.17359e-08	1.52228e-07	0.536929	N/S
null	0.750306	4.56537e-06	8.97701e-06	0.508562	N/S
null	1.24969	4.41165e-06	8.97701e-06	0.491438	N/S
null	0.750306	1.04699e-09	5.09745e-09	0.205395	N/S
null	1.24969	4.05046e-09	5.09745e-09	0.794605	N/S
